MovieID,count,mean,Title,Genres
2858,3428,4.3173862310385065,American Beauty (1999),Comedy|Drama
260,2991,4.453694416583082,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
1196,2990,4.292976588628763,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
1210,2883,4.022892819979188,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War
480,2672,3.7638473053892216,Jurassic Park (1993),Action|Adventure|Sci-Fi
2028,2653,4.337353938937053,Saving Private Ryan (1998),Action|Drama|War
589,2649,4.058512646281616,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
2571,2590,4.315830115830116,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1270,2583,3.9903213317847466,Back to the Future (1985),Comedy|Sci-Fi
593,2578,4.3518231186966645,"Silence of the Lambs, The (1991)",Drama|Thriller
1580,2538,3.739952718676123,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
1198,2514,4.477724741447892,Raiders of the Lost Ark (1981),Action|Adventure
608,2513,4.254675686430561,Fargo (1996),Crime|Drama|Thriller
2762,2459,4.406262708418057,"Sixth Sense, The (1999)",Thriller
110,2443,4.234957020057307,Braveheart (1995),Action|Drama|War
2396,2369,4.127479949345715,Shakespeare in Love (1998),Comedy|Romance
1197,2318,4.3037100949094045,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
527,2304,4.510416666666667,Schindler's List (1993),Drama|War
1617,2288,4.219405594405594,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1265,2278,3.953028972783143,Groundhog Day (1993),Comedy|Romance
1097,2269,3.9651828999559275,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
2997,2241,4.125390450691656,Being John Malkovich (1999),Comedy
318,2227,4.554557700942973,"Shawshank Redemption, The (1994)",Drama
858,2223,4.524966261808367,"Godfather, The (1972)",Action|Crime|Drama
356,2194,4.087967183226983,Forrest Gump (1994),Comedy|Romance|War
2716,2181,3.9055479138010085,Ghostbusters (1984),Comedy|Horror
